id,nombre_comun,vegetacion,edad,pb,pap,dap,dap2,papdel,papgrueso,altura_fuste,altura_arbol,diferencia,diametro_copa,fuste,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad,norte,este
168,"Palma areca",Palma,Maduro,1.18,0,0.07,0.07,0.18,0.23,1,2.5,1.5,2.8,0,4,0,0,0,"Bajo (0 - 33%)",Sano,873811,1058100
169,Cipres,Arbol,Maduro,0.95,0.84,0.27,0.27,0,0,3.5,4.5,1,4.2,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873537,1057590
170,Carbonero,Arbol,Juvenil,0.47,0.37,0.12,0.12,0,0,1.7,3.5,1.8,2.1,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873536,1057590
171,Chiminango,Arbol,Maduro,2.89,0,0.39,0.39,0.43,2.03,3,9,6,15,0,4,0,0,0,"Medio (34 - 66%)",Regular,873532,1057590
172,"Palma areca",Palma,Maduro,2.14,0,0.08,0.08,0.22,0.3,3.3,5.2,1.9,6,0,9,0,0,0,"Bajo (0 - 33%)",Regular,873530,1057590
173,"Palma areca",Palma,Maduro,2.2,0,0.08,0.08,0.22,0.27,3.5,6,2.5,6.1,0,6,0,0,0,"Bajo (0 - 33%)",Regular,873524,1057590
174,Guayabo,Arbusto,Maduro,0.66,0.55,0.18,0.18,0,0,2.2,4.2,2,5.1,0,1,0,0,0,"Medio (34 - 66%)",Regular,873594,1057830
175,Araucaria,Arbol,Maduro,1,0.92,0.29,0.29,0,0,4.1,12,7.9,4.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873584,1057810
176,"Palma manila, Palma navidad",Palma,Longevo,0.84,0.54,0.17,0.17,0,0,5,8,3,3.7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873586,1057810
177,Aguacate,Arbol,Maduro,1.36,0,0.26,0.26,0.77,0.89,3,10,7,7.5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873576,1057810
178,"Ficus benjamina, Caucho benjamin",Arbol,Maduro,2.66,2.63,0.84,0.84,0,0,5,11,6,23.3,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873574,1057810
179,Guacimo,Arbol,Juvenil,2.4,0,0.3,0.3,0.52,1.34,4,13,9,11,0,3,0,0,0,"Medio (34 - 66%)",Regular,873567,1057800
180,Chiminango,Arbol,Juvenil,1.87,1.47,0.47,0.47,0,0,6,16,10,15,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873564,1057790
181,"Limon cidra",Arbusto,Juvenil,0.7,0,0.06,0.06,0.18,0.2,1,2.5,1.5,3,0,2,0,0,0,"Medio (34 - 66%)",Regular,873571,1057780
182,"Palma areca",Palma,Juvenil,0.16,0.16,0.05,0.05,0,0,5.5,7.5,2,2.8,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873568,1057780
183,Aguacate,Arbol,Maduro,0.56,0.5,0.16,0.16,0,0,2,5,3,8,0,1,0,0,0,"Medio (34 - 66%)",Regular,873569,1057780
184,"Nacedero, Madre de agua",Arbol,Maduro,0.28,0.17,0.05,0.05,0,0,1.7,2.3,0.6,2.7,0,1,0,0,0,"Alto (67 - 100%)",Regular,873564,1057770
185,"Nacedero, Madre de agua",Arbol,Maduro,0.24,0,0.04,0.04,0.12,0.13,1.8,2.8,1,2.2,0,2,0,0,0,"Medio (34 - 66%)",Regular,873565,1057770
186,"Nacedero, Madre de agua",Arbol,Maduro,0.77,0,0.05,0.05,0.13,0.17,1,2.4,1.4,2.2,0,4,0,0,0,"Medio (34 - 66%)",Regular,873564,1057760
187,"Nacedero, Madre de agua",Arbol,Maduro,0.22,0,0.04,0.04,0.13,0.14,1.6,3.5,1.9,1.9,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873564,1057760
188,"Floramarillo, Velero, Vainillo",Arbol,Maduro,0.4,0,0.07,0.07,0.17,0.25,1.6,3,1.4,5,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873537,1057720
189,"Dracaena roja","Planta arbustiva",Maduro,0.75,0,0.04,0.04,0.1,0.13,2,2.6,0.6,1.8,0,3,0,0,0,"Medio (34 - 66%)",Regular,873522,1057720
190,"Palma areca",Palma,Maduro,0.32,0.32,0.1,0.1,0,0,3,4.2,1.2,3.7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873519,1057720
191,Araucaria,Arbol,Maduro,1.23,0.95,0.3,0.3,0,0,3,6,3,6.2,0,1,0,0,0,"Medio (34 - 66%)",Regular,873544,1057680
192,"Limon swinglea, Swinglea",Arbol,Maduro,0.84,0,0.07,0.07,0.16,0.27,2,4.5,2.5,4.1,0,4,0,0,0,"Alto (67 - 100%)",Regular,873501,1057720
193,Guacimo,Arbol,Maduro,0.79,0,0.1,0.1,0.26,0.38,1.7,4,2.3,3.8,0,2,0,0,0,"Medio (34 - 66%)",Regular,873520,1057760
194,Leucaena,Arbol,Maduro,1.03,1.05,0.33,0.33,0,0,3,8,5,7.1,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873518,1057760
195,"Limon swinglea, Swinglea",Arbol,Maduro,1.7,0,0.14,0.14,0.26,0.62,3.5,7.5,4,9.1,0,4,0,0,0,"Medio (34 - 66%)",Regular,873512,1057760
196,"Saman, Genizaro",Arbol,Maduro,1.28,0,0.31,0.31,0.95,0.99,6,10,4,17,0,2,0,0,0,"Medio (34 - 66%)",Regular,873473,1057740
197,"Saman, Genizaro",Arbol,Maduro,0.95,0,0.25,0.25,0.64,0.94,4,7.5,3.5,11,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873484,1057750
198,"Saman, Genizaro",Arbol,Maduro,0.63,0.52,0.17,0.17,0,0,4,7.5,3.5,5.1,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873483,1057760
199,"Saman, Genizaro",Arbol,Maduro,0.54,0.48,0.15,0.15,0,0,4.2,6,1.8,4,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873484,1057750
200,"Saman, Genizaro",Arbol,Maduro,0.47,0.42,0.13,0.13,0,0,4,6,2,4,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873484,1057760
201,Leucaena,Arbol,Maduro,1,0.97,0.31,0.31,0,0,4,8,4,10,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873574,1057900
202,Leucaena,Arbol,Maduro,0.68,0.6,0.19,0.19,0,0,4,7,3,7.2,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873576,1057900
203,"Floramarillo, Velero, Vainillo",Arbol,Maduro,2.02,0,0.29,0.29,0.79,1.05,3,9,6,14.2,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873579,1057900
204,Leucaena,Arbol,Maduro,0.66,0.63,0.2,0.2,0,0,2.9,5,2.1,5,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873583,1057950
205,Leucaena,Arbol,Maduro,0.93,0.82,0.26,0.26,0,0,4,8,4,7,0,1,0,0,0,"Medio (34 - 66%)",Regular,873598,1057950
206,Guacimo,Arbol,Maduro,0.72,0,0.16,0.16,0.47,0.52,3,7.5,4.5,8,0,2,0,0,0,"Medio (34 - 66%)",Regular,873609,1057950
207,"Ficus benjamina, Caucho benjamin",Arbol,Maduro,1.75,1.4,0.45,0.45,0,0,3.5,12,8.5,15,0,1,0,0,0,"Medio (34 - 66%)",Regular,873641,1057940
208,Jagua,Arbol,Maduro,0.86,0.73,0.23,0.23,0,0,3,4.5,1.5,5.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873647,1057950
209,"Palma de yuca",Palma,Maduro,1.3,0.41,0.13,0.13,0,0,2.4,3.7,1.3,2.7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873647,1057950
210,"Limon swinglea, Swinglea",Arbol,Juvenil,1.58,0,0.32,0.32,0.68,1.3,3,8,5,7.5,0,3,0,0,0,"Alto (67 - 100%)",Regular,873648,1057960
211,"Limon swinglea, Swinglea",Arbol,Longevo,1.6,0,0.22,0.22,0.46,0.9,3.5,8,4.5,7.4,0,5,0,0,0,"Alto (67 - 100%)",Regular,873651,1057960
212,"Acacia robinia",Arbol,Maduro,1.35,1.28,0.41,0.41,0,0,4,8.5,4.5,7,0,1,0,0,0,"Medio (34 - 66%)",Regular,873652,1057960
213,"Palma real de Cuba",Palma,Maduro,2,1.23,0.39,0.39,0,0,7,14,7,5.3,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873647,1057970
214,"Acacia robinia",Arbol,Maduro,1.27,0,0.27,0.27,0.75,0.97,5,7,2,7,0,2,0,0,0,"Bajo (0 - 33%)",Muerto,873651,1058000
215,"Acacia robinia",Arbol,Maduro,1.65,0,0.3,0.3,0.71,1.17,3,7.3,4.3,15,0,3,0,0,0,"Medio (34 - 66%)",Regular,873652,1058010
216,"Acacia robinia",Arbol,Maduro,1.35,1.17,0.37,0.37,0,0,4,9,5,12.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873653,1058020
217,"Limon swinglea, Swinglea",Arbol,Maduro,0.92,0,0.11,0.11,0.28,0.41,1.7,4.5,2.8,5.6,0,3,0,0,0,"Alto (67 - 100%)",Regular,873650,1058020
218,Almendro,Arbol,Maduro,0.88,0.68,0.22,0.22,0,0,5,7.5,2.5,8.7,0,1,0,0,0,"Medio (34 - 66%)",Regular,873655,1058030
219,"Ceiba, Ceiba bruja, Ceiba de lana, Bonga",Arbol,Maduro,1.38,1.6,0.51,0.51,0,0,4,7,3,11,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873647,1058040
220,"Seso, Bien me sabe",Arbol,Maduro,0.68,0.63,0.2,0.2,0,0,3.3,8,4.7,7.1,0,1,0,0,0,"Alto (67 - 100%)",Regular,873658,1058040
221,Guanabano,Arbol,Maduro,1.29,1.27,0.4,0.4,0,0,4,8,4,10,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873662,1058050
222,"Ficus Higueron, Ficus insipida, Caucho Insipida",Arbol,Maduro,1.62,0,0.26,0.26,0.75,0.88,2.7,10,7.3,10.5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873664,1058050
223,"Chambimbe, Jaboncillo",Arbol,Maduro,0.62,0.5,0.16,0.16,0,0,5,6,1,6,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873664,1058060
224,"Chambimbe, Jaboncillo",Arbol,Maduro,0.53,0.39,0.12,0.12,0,0,2.5,6.7,4.2,6.1,0,1,0,0,0,"Medio (34 - 66%)",Regular,873662,1058060
225,"Acacia robinia",Arbol,Maduro,0.67,0.59,0.19,0.19,0,0,3,3.5,0.5,3.4,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873664,1058060
226,Guanabano,Arbol,Maduro,0.6,0.47,0.15,0.15,0,0,6,10,4,5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873662,1058070
227,"Palma de coco",Palma,Maduro,0.7,0.49,0.16,0.16,0,0,1.8,4,2.2,3.7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873666,1058070
228,Mamoncillo,Arbol,Maduro,0.36,0.21,0.07,0.07,0,0,3.5,6,2.5,4.2,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873664,1058070
229,"Ceiba, Ceiba bruja, Ceiba de lana, Bonga",Arbol,Maduro,1.4,1.4,0.45,0.45,0,0,4.3,8.5,4.2,9,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873671,1058080
230,"Palma de coco",Palma,Maduro,1.12,0.76,0.24,0.24,0,0,7,10,3,4.8,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873673,1058090
231,"Palma de Madagascar, Palma de anillos",Palma,Maduro,0.7,0.72,0.23,0.23,0,0,7,10,3,3.7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873670,1058090
232,"Palma de Madagascar, Palma de anillos",Palma,Maduro,0.9,0,0.13,0.13,0.34,0.47,6,7.5,1.5,2.1,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873671,1058090
233,Almendro,Arbol,Juvenil,0.87,0.72,0.23,0.23,0,0,1.6,3,1.4,4.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873688,1058120
234,Aguacate,Arbol,Maduro,1,0.8,0.25,0.25,0,0,6,9,3,9,0,1,0,0,0,"Alto (67 - 100%)",Regular,873664,1058120
235,Aguacate,Arbol,Maduro,0.36,0,0.07,0.07,0.23,0.24,1,3.5,2.5,4,0,2,0,0,0,"Medio (34 - 66%)",Regular,873663,1058120
236,Francesina,Arbusto,Longevo,0.34,0,0.07,0.07,0.2,0.24,1,2.5,1.5,3,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873649,1058130
237,"Palma areca",Palma,Maduro,0.7,0.23,0.07,0.07,0,0,6,7,1,3,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873640,1058120
238,"Palma areca",Palma,Maduro,1.2,0,0.1,0.1,0.3,0.32,3.5,6,2.5,6,0,3,0,0,0,"Medio (34 - 66%)",Regular,873639,1058130
239,"Palma areca",Palma,Maduro,3.03,0,0.1,0.1,0.3,0.33,2.6,4.6,2,6,0,9,0,0,0,"Medio (34 - 66%)",Regular,873637,1058130
240,"Palma areca",Palma,Longevo,2.8,0,0.09,0.09,0.22,0.35,3.1,4.6,1.5,6,0,8,0,0,0,"Medio (34 - 66%)",Regular,873634,1058130
241,"Palma areca",Palma,Maduro,2.5,0,0.1,0.1,0.28,0.36,5,7,2,6,0,10,0,0,0,"Medio (34 - 66%)",Regular,873631,1058130
242,"Palma Datilera, Palma canaria",Palma,Maduro,0.85,0.64,0.2,0.2,0,0,1,1.8,0.8,3,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873626,1058130
243,"Palma areca",Palma,Maduro,1.2,0,0.09,0.09,0.26,0.3,4,7,3,6,0,2,0,0,0,"Medio (34 - 66%)",Regular,873604,1058130
244,"Palma africana",Palma,Maduro,0.9,0.48,0.15,0.15,0,0,9,13,4,6,0,1,0,0,0,"Medio (34 - 66%)",Regular,873600,1058130
245,Francesina,Arbusto,Maduro,1.1,0,0.04,0.04,0.09,0.19,0.3,2,1.7,2,0,6,0,0,0,"Bajo (0 - 33%)",Regular,873670,1058170
246,"No me olvides, Nogal, San joaquin",Arbol,Maduro,0.5,0,0.06,0.06,0.17,0.2,0.4,1.8,1.4,1,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873626,1058170
247,"Dracena dereminsis","Planta arbustiva",Juvenil,0.84,0,0.09,0.09,0.25,0.3,0.4,1.8,1.4,2,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873589,1058140
248,"Limon swinglea, Swinglea",Arbol,Juvenil,0.4,0,0.05,0.05,0.13,0.19,0.4,1.8,1.4,1,0,3,0,0,0,"Bajo (0 - 33%)",Sano,873674,1058230
249,"Limon swinglea, Swinglea",Arbol,Maduro,0.36,0,0.04,0.04,0.07,0.19,0.3,1.8,1.5,1,0,6,0,0,0,"Bajo (0 - 33%)",Sano,873674,1058220
250,"Limon swinglea, Swinglea",Arbol,Maduro,0.32,0,0.05,0.05,0.06,0.25,0.4,1.8,1.4,1,0,4,0,0,0,"Bajo (0 - 33%)",Sano,873674,1058230
251,"Limon swinglea, Swinglea",Arbol,Maduro,0.3,0,0.05,0.05,0.1,0.2,0.3,1.8,1.5,1,0,4,0,0,0,"Bajo (0 - 33%)",Sano,873674,1058230
252,"Limon swinglea, Swinglea",Arbol,Maduro,0.32,0,0.06,0.06,0.1,0.26,0.4,1.8,1.4,1,0,5,0,0,0,"Bajo (0 - 33%)",Sano,873675,1058230
253,Francesina,Arbusto,Maduro,0.34,0,0.05,0.05,0.13,0.2,0.3,1.8,1.5,1,0,4,0,0,0,"Bajo (0 - 33%)",Sano,873677,1058230
254,Francesina,Arbusto,Maduro,0.37,0,0.03,0.03,0.09,0.12,0.3,1.8,1.5,1,0,6,0,0,0,"Bajo (0 - 33%)",Sano,873678,1058230
255,"Palma manila, Palma navidad",Palma,Maduro,0.76,0.39,0.12,0.12,0,0,2,2.5,0.5,4,0,1,0,0,0,"Medio (34 - 66%)",Sano,873678,1058230
256,Francesina,Arbusto,Maduro,0.36,0,0.05,0.05,0.1,0.2,0.3,1.8,1.5,1,0,5,0,0,0,"Bajo (0 - 33%)",Sano,873679,1058230
257,Francesina,Arbusto,Maduro,0.26,0,0.03,0.03,0.09,0.12,0.3,1.8,1.5,1,0,4,0,0,0,"Bajo (0 - 33%)",Sano,873681,1058230
258,"Palma areca",Palma,Maduro,1.47,0,0.07,0.07,0.16,0.26,1.8,5,3.2,6,0,5,0,0,0,"Medio (34 - 66%)",Sano,873678,1058230
259,Francesina,Arbusto,Maduro,0.5,0,0.05,0.05,0.1,0.2,0.3,1.8,1.5,1,0,4,0,0,0,"Bajo (0 - 33%)",Sano,873676,1058230
260,"Limon swinglea, Swinglea",Arbol,Juvenil,0.28,0,0.04,0.04,0.12,0.15,0.3,1.8,1.5,2,0,3,0,0,0,"Bajo (0 - 33%)",Sano,873682,1058230
261,"Limon swinglea, Swinglea",Arbol,Longevo,0.3,0,0.05,0.05,0.12,0.2,0.3,1.8,1.5,1,0,2,0,0,0,"Bajo (0 - 33%)",Sano,873682,1058230
262,"Limon swinglea, Swinglea",Arbol,Juvenil,0.5,0,0.06,0.06,0.15,0.2,0.3,1.8,1.5,1,0,5,0,0,0,"Bajo (0 - 33%)",Sano,873681,1058230
263,Francesina,Arbusto,Juvenil,0.55,0,0.05,0.05,0.08,0.23,0.3,1.8,1.5,1,0,7,0,0,0,"Bajo (0 - 33%)",Sano,873679,1058230
264,"Limon swinglea, Swinglea",Arbol,Juvenil,0.44,0,0.05,0.05,0.12,0.2,0.3,1.8,1.5,1.5,0,4,0,0,0,"Bajo (0 - 33%)",Sano,873679,1058220
265,"Limon swinglea, Swinglea",Arbol,Longevo,0.29,0,0.06,0.06,0.1,0.26,0.3,1.8,1.5,1,0,4,0,0,0,"Bajo (0 - 33%)",Sano,873680,1058230
266,Veranera,"Planta arbustiva",Juvenil,0.55,0.7,0.22,0.22,0,0,0.3,1.8,1.5,1,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873687,1058240
267,Veranera,"Planta arbustiva",Juvenil,0.77,0.85,0.27,0.27,0,0,0.3,1.8,1.5,1.5,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873687,1058240
268,"Millonaria, Crispa","Planta arbustiva",Juvenil,0.43,0,0.05,0.05,0.12,0.18,1.7,4,2.3,2,0,6,0,0,0,"Bajo (0 - 33%)",Sano,873697,1058300
269,"Palma manila, Palma navidad",Palma,Longevo,0.87,0.39,0.12,0.12,0,0,1.6,4,2.4,4,0,1,0,0,0,"Medio (34 - 66%)",Sano,873696,1058300
270,Guanabano,Arbol,Longevo,0.42,0,0.09,0.09,0.24,0.31,1.4,4,2.6,3,0,2,0,0,0,"Bajo (0 - 33%)",Sano,873696,1058300
271,"Palma areca",Palma,Longevo,2.2,0,0.08,0.08,0.19,0.34,1.2,3,1.8,4.5,0,3,0,0,0,"Medio (34 - 66%)",Sano,873696,1058300
272,"Palma guadua",Palma,Maduro,0.43,0.35,0.11,0.11,0,0,2,4,2,4,0,1,0,0,0,"Medio (34 - 66%)",Sano,873698,1058300
273,"Millonaria, Crispa","Planta arbustiva",Maduro,0.44,0,0.05,0.05,0.09,0.22,1.55,4,2.45,1,0,7,0,0,0,"Bajo (0 - 33%)",Sano,873696,1058300
274,"Palma manila, Palma navidad",Palma,Maduro,1.35,0,0.15,0.15,0.48,0.49,1.3,3,1.7,4,0,2,0,0,0,"Medio (34 - 66%)",Sano,873697,1058300
275,"Palma manila, Palma navidad",Palma,Maduro,1.7,0,0.12,0.12,0.32,0.45,1.7,3.5,1.8,4,0,3,0,0,0,"Medio (34 - 66%)",Sano,873699,1058300
276,Ciruelo,Arbusto,Maduro,0.79,0.72,0.23,0.23,0,0,1.6,7,5.4,8,0,1,0,0,0,"Medio (34 - 66%)",Sano,873698,1058290
277,"Dracena dereminsis","Planta arbustiva",Maduro,2.1,0,0.13,0.13,0.2,0.6,3,7,4,7,0,5,0,0,0,"Medio (34 - 66%)",Regular,873699,1058290
278,"Limon swinglea, Swinglea",Arbol,Maduro,1.3,0,0.09,0.09,0.16,0.42,1.3,2.5,1.2,3,0,8,0,0,0,"Bajo (0 - 33%)",Sano,873703,1058270
279,"Cerezo, Mirto, Azahar",Arbusto,Maduro,1.7,0,0.08,0.08,0.12,0.4,0.3,1.8,1.5,2,0,7,0,0,0,"Bajo (0 - 33%)",Sano,873703,1058270
280,Noni,Arbusto,Maduro,0.16,0,0.03,0.03,0.09,0.11,0.4,1.8,1.4,3,0,3,0,0,0,"Bajo (0 - 33%)",Sano,873697,1058270
281,Mamoncillo,Arbol,Maduro,0.44,0,0.11,0.11,0.27,0.4,1.7,3.5,1.8,3.5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873697,1058260
282,Aguacate,Arbol,Maduro,0.7,0,0.16,0.16,0.39,0.62,1.8,4.5,2.7,3.5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873697,1058260
283,"Guamo rabo de mico, Guamo churimo",Arbol,Maduro,0.9,0,0.17,0.17,0.45,0.6,1.3,7,5.7,9,0,3,0,0,0,"Alto (67 - 100%)",Regular,873695,1058250
284,"Dracena dereminsis","Planta arbustiva",Maduro,1.47,0,0.23,0.23,0.48,0.94,0.3,1.8,1.5,1,0,2,0,0,0,"Bajo (0 - 33%)",Sano,873699,1058250
285,"Dracena dereminsis","Planta arbustiva",Maduro,1.32,0,0.07,0.07,0.16,0.3,0.3,2.2,1.9,2,0,9,0,0,0,"Bajo (0 - 33%)",Sano,873697,1058250
286,Mango,Arbol,Maduro,1.43,1.18,0.38,0.38,0,0,2,9,7,10,0,1,0,0,0,"Alto (67 - 100%)",Regular,873680,1058380
287,"Cojon de cabrito, Pepa de cabra, Cajeto, Enebro",Arbusto,Maduro,0.65,0.57,0.18,0.18,0,0,2,3.2,1.2,4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873684,1058380
288,Naranjo,Arbusto,Maduro,0.17,0,0.04,0.04,0.09,0.14,1,1.8,0.8,1,0,2,0,0,0,"Bajo (0 - 33%)",Sano,873683,1058380
289,"Garvanzo, Duranta",Arbusto,Maduro,0.6,0,0.05,0.05,0.13,0.2,0.3,1.8,1.5,2,0,7,0,0,0,"Bajo (0 - 33%)",Sano,873696,1058380
290,Aguacate,Arbol,Maduro,1.18,1.3,0.41,0.41,0,0,1.7,6,4.3,9,0,1,0,0,0,"Alto (67 - 100%)",Regular,873705,1058380
291,"Limon swinglea, Swinglea",Arbol,Maduro,1,0,0.16,0.16,0.45,0.56,1.7,4,2.3,3,0,2,0,0,0,"Bajo (0 - 33%)",Sano,873706,1058380
292,Limon,Arbusto,Maduro,0.8,0,0.06,0.06,0.13,0.27,1,3,2,5,0,4,0,0,0,"Medio (34 - 66%)",Sano,873713,1058380
293,"Limon swinglea, Swinglea",Arbol,Maduro,1.05,0,0.18,0.18,0.55,0.57,1,6,5,4.5,0,2,0,0,0,"Medio (34 - 66%)",Sano,873713,1058370
294,"Limon swinglea, Swinglea",Arbol,Maduro,0.7,0,0.14,0.14,0.41,0.5,1,6,5,6,0,2,0,0,0,"Medio (34 - 66%)",Sano,873719,1058370
295,"Limon swinglea, Swinglea",Arbol,Longevo,0.79,0,0.11,0.11,0.18,0.52,1.6,6,4.4,6,0,2,0,0,0,"Medio (34 - 66%)",Sano,873719,1058370
296,"Limon swinglea, Swinglea",Arbol,Longevo,0.22,0,0.04,0.04,0.09,0.13,0.3,1.8,1.5,1,0,2,0,0,0,"Bajo (0 - 33%)",Sano,873746,1058440
297,"Palma areca",Palma,Longevo,2.6,0,0.07,0.07,0.2,0.24,1.8,4.5,2.7,6,0,6,0,0,0,"Medio (34 - 66%)",Regular,873731,1058420
298,"Acacia robinia",Arbol,Longevo,0.64,0,0.13,0.13,0.4,0.41,1.6,8,6.4,9,0,2,0,0,0,"Alto (67 - 100%)",Sano,873729,1058420
299,"Acacia robinia",Arbol,Longevo,0.71,0,0.17,0.17,0.39,0.68,1.1,9,7.9,8,0,2,0,0,0,"Medio (34 - 66%)",Sano,873729,1058420
300,"Acacia robinia",Arbol,Longevo,0.74,0,0.12,0.12,0.27,0.5,1.3,8,6.7,8,0,3,0,0,0,"Medio (34 - 66%)",Sano,873730,1058420
301,"Acacia robinia",Arbol,Longevo,0.9,0,0.18,0.18,0.44,0.67,1.1,10.5,9.4,11,0,2,0,0,0,"Alto (67 - 100%)",Sano,873727,1058410
302,"Palma areca",Palma,Maduro,0.76,0,0.07,0.07,0.2,0.22,3,4.8,1.8,3.5,0,2,0,0,0,"Medio (34 - 66%)",Sano,873726,1058410
303,"Palma areca",Palma,Longevo,1.45,0,0.07,0.07,0.23,0.24,1.9,3.2,1.3,4,0,3,0,0,0,"Medio (34 - 66%)",Sano,873727,1058410
304,"Palma areca",Palma,Maduro,0.91,0.24,0.08,0.08,0,0,4,5,1,3,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873730,1058410
305,"Palma de coco",Palma,Maduro,1.87,1.87,0.6,0.6,0,0,0.5,3.2,2.7,2,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873806,1058120
306,"Cojon de cabrito, Pepa de cabra, Cajeto, Enebro",Arbusto,Maduro,0.38,0,0.06,0.06,0.16,0.19,1.6,2.1,0.5,2,0,2,0,0,0,"Alto (67 - 100%)",Regular,873805,1058130
307,"Palma de yuca",Palma,Maduro,1.23,0.95,0.3,0.3,0,0,2,4,2,3,0,1,0,0,0,"Alto (67 - 100%)",Regular,873856,1058290
308,"Seso, Bien me sabe",Arbol,Maduro,1.1,0.93,0.3,0.3,0,0,2,8.5,6.5,6.8,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873874,1058340
309,Aguacate,Arbol,Maduro,0.73,0.6,0.19,0.19,0,0,2,6.8,4.8,6.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873850,1058460
310,"Limon swinglea, Swinglea",Arbol,Juvenil,1.73,0,0.22,0.22,0.55,0.82,2,10.5,8.5,9.6,0,4,0,0,0,"Bajo (0 - 33%)",Regular,873841,1058350
311,Leucaena,Arbol,Maduro,1.4,0,0.2,0.2,0.5,0.76,2.5,9.6,7.1,4,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873844,1058350
312,"Limon swinglea, Swinglea",Arbol,Juvenil,1,0.74,0.24,0.24,0,0,2.2,8.5,6.3,3.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873846,1058350
