id,nombre_comun,vegetacion,edad,pb,pap,dap,dap2,papdel,papgrueso,altura_fuste,altura_arbol,diferencia,diametro_copa,fuste,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad,norte,este
313,Cipres,Arbol,Maduro,1.5,1.55,0.49,0.49,0,0,2,12.5,10.5,8.6,0,1,0,0,0,"Alto (67 - 100%)",Regular,873853,1058360
314,Mandarina,Arbusto,Juvenil,0.57,0,0.06,0.06,0.09,0.31,1.5,3,1.5,3,0,11,0,0,0,"Alto (67 - 100%)",Regular,873854,1058370
315,Leucaena,Arbol,Juvenil,0.9,0.76,0.24,0.24,0,0,2,9.8,7.8,6,0,1,0,0,0,"Alto (67 - 100%)",Regular,873852,1058370
316,"Palma areca",Palma,Juvenil,1.1,0,0.08,0.08,0.23,0.28,3.5,4,0.5,3,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873856,1058370
317,"Caucho Lira, Ficus Lira",Arbol,Juvenil,0.6,0.58,0.18,0.18,0,0,2,5,3,7,0,1,0,0,0,"Alto (67 - 100%)",Regular,873859,1058380
318,"Seso, Bien me sabe",Arbol,Maduro,0.38,0.3,0.1,0.1,0,0,1.6,2.5,0.9,2,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873856,1058380
319,Mango,Arbol,Maduro,1.6,0,0.13,0.13,0.37,0.47,2,5,3,4.5,0,4,0,0,0,"Alto (67 - 100%)",Regular,873852,1058390
320,"Saman, Genizaro",Arbol,Maduro,1.9,1.5,0.48,0.48,0,0,2.5,12,9.5,12,0,1,0,0,0,"Alto (67 - 100%)",Regular,873857,1058390
321,"Palma de yuca",Palma,Juvenil,1.6,0.14,0.04,0.04,0,0,2,3.8,1.8,2.8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873860,1058290
322,"Aceituno, Malagueto",Arbol,Maduro,1.77,0,0.26,0.26,0.77,0.88,8,11,3,9,0,3,0,0,0,"Alto (67 - 100%)",Regular,873859,1058400
323,"Arrayan cerezo",Arbusto,Maduro,0.99,0,0.04,0.04,0.09,0.13,1,2,1,2,0,6,0,0,0,"Alto (67 - 100%)",Regular,873858,1058400
324,"Limon swinglea, Swinglea",Arbol,Longevo,0.4,0,0.06,0.06,0.1,0.25,1,1.6,0.6,1.6,0,2,0,0,0,"Alto (67 - 100%)",Regular,873860,1058420
325,"Palma areca",Palma,Maduro,0.72,0,0.08,0.08,0.25,0.28,2.2,3.2,1,0.5,0,2,0,0,0,"Bajo (0 - 33%)",Muerto,873860,1058420
326,"Palma areca",Palma,Maduro,0.33,0.21,0.07,0.07,0,0,1.6,2.1,0.5,1.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873859,1058420
327,"Limon swinglea, Swinglea",Arbol,Maduro,0.4,0,0.05,0.05,0.14,0.18,1,1.85,0.85,1.65,0,2,0,0,0,"Alto (67 - 100%)",Regular,873860,1058420
328,"Cerezo, Mirto, Azahar",Arbusto,Maduro,0.56,0,0.05,0.05,0.1,0.2,0.6,1.75,1.15,1.5,0,10,0,0,0,"Alto (67 - 100%)",Regular,873859,1058420
329,"Limon swinglea, Swinglea",Arbol,Maduro,0.4,0,0.05,0.05,0.1,0.22,1,1.7,0.7,1,0,6,0,0,0,"Alto (67 - 100%)",Regular,873860,1058420
330,"Limon swinglea, Swinglea",Arbol,Longevo,0.42,0,0.05,0.05,0.12,0.2,0.7,1.76,1.06,1,0,5,0,0,0,"Alto (67 - 100%)",Regular,873859,1058420
331,"Limon swinglea, Swinglea",Arbol,Maduro,0.43,0,0.04,0.04,0.1,0.16,1,1.7,0.7,1,0,6,0,0,0,"Alto (67 - 100%)",Regular,873860,1058430
