ID2;id;Barrio;barrio;comuna;Id_Arbol;grupo;nombre_comun;nombre_cientifico;union;familia;vegetacion;edad;perimetro;cobertura;confinamiento;emplazamiento;pb;pap;DAP;DAP2;papdel;papgrueso;altura_fuste;altura_arbol;diferencia;diametro_copa;inclinacion;orientacion;otra_orientacion;fuste;tallos;raiz;raiz_expuesta;copa;densidad_copa;vitalidad;Norte;Este
24;0101G12263631;101;Terron Colorado;1;263631;G12 ;Jagua;Genipa americana;Genipa americana (Jagua);Rubiaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.68;0.57;0.18;0.18;0;0;5;9.5;4.5;5.5;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;Si;Globosa        ;Alto (67 - 100%)    ;Regular ;873707,87;1057646,86
25;0101G12263632;101;Terron Colorado;1;263632;G12 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;0.2;0.14;0.04;0.04;0;0;2;4.5;2.5;1.8;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Sano    ;873704,86;1057652,01
26;0101G12263633;101;Terron Colorado;1;263633;G12 ;Acacia robinia;Caesalpinia peltophoroides;Caesalpinia peltophoroides (Acacia robinia);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;1.23;0;0.19;0.19;0.52;0.67;6;9;3;10;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Regular ;873707,62;1057645,47
27;0101G12263635;101;Terron Colorado;1;263635;G12 ;Palma de yuca;Yucca filifera;Yucca filifera (Palma de yuca);Asparagaceae;Palma;Maduro         ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.32;0;0.07;0.07;0.22;0.23;1;2;1;1.2;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;No;Columnar       ;Medio (34 - 66%)    ;Regular ;873696,17;1057645,55
28;0101G12263636;101;Terron Colorado;1;263636;G12 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;1;0;0.05;0.05;0.14;0.19;0.5;2.8;2.3;2;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873696,3;1057646,73
29;0101G12263637;101;Terron Colorado;1;263637;G12 ;Mango;Mangifera indica;Mangifera indica (Mango);Anacardiaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.52;0.41;0.13;0.13;0;0;2.2;4.5;2.3;5;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Regular ;873810;1057795,38
30;0101G12263638;101;Terron Colorado;1;263638;G12 ;Cardenal, Sombrilla japonesa, Flor de Pascua;Euphorbia pulcherrima;Euphorbia pulcherrima (Cardenal, Sombrilla japonesa, Flor de Pascua);Euphorbiaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.37;0;0.05;0.05;0.14;0.18;1;2.4;1.4;1.8;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873812,77;1057795,68
31;0101G12263639;101;Terron Colorado;1;263639;G12 ;Limon;Citrus lemon;Citrus lemon (Limon);Rutaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.62;0;0.08;0.08;0.18;0.3;1.8;3.6;1.8;3;0;Ninguna;N/A;Fuste Polifurcado;4;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Sano    ;873813,1;1057799,09
32;0101G12263640;101;Terron Colorado;1;263640;G12 ;Aguacate;Persea americana;Persea americana (Aguacate);Lauraceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.27;0;0.05;0.05;0.14;0.15;0.5;2.4;1.9;2.6;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Sano    ;873817,31;1057801,65
33;0101G12263641;101;Terron Colorado;1;263641;G12 ;Mango;Mangifera indica;Mangifera indica (Mango);Anacardiaceae;Arbol;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;0.46;0.31;0.1;0.1;0;0;1.7;3.6;1.9;3;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Sano    ;873821,26;1057799,46
34;0101G12263642;101;Terron Colorado;1;263642;G12 ;Mango;Mangifera indica;Mangifera indica (Mango);Anacardiaceae;Arbol;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;0.37;0;0.05;0.05;0.15;0.19;1.5;2.8;1.3;2.4;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Sano    ;873829,59;1057804,7
35;0101G12263643;101;Terron Colorado;1;263643;G12 ;Guayacan rosado;Tabebuia rosea;Tabebuia rosea (Guayacan rosado);Bignoniaceae;Arbol;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;0.33;0.2;0.06;0.06;0;0;2.6;3.2;0.6;2;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Medio (34 - 66%)    ;Regular ;873829,53;1057812,16
36;0101G12263644;101;Terron Colorado;1;263644;G12 ;Guayacan rosado;Tabebuia rosea;Tabebuia rosea (Guayacan rosado);Bignoniaceae;Arbol;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;0.3;0.2;0.06;0.06;0;0;2;3.1;1.1;2;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Medio (34 - 66%)    ;Regular ;873836,33;1057810,26
37;0101G12263645;101;Terron Colorado;1;263645;G12 ;Guayacan rosado;Tabebuia rosea;Tabebuia rosea (Guayacan rosado);Bignoniaceae;Arbol;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;0.22;0.1;0.03;0.03;0;0;1.5;2.4;0.9;1.3;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873833,88;1057820,13
38;0101G12263646;101;Terron Colorado;1;263646;G12 ;Mango;Mangifera indica;Mangifera indica (Mango);Anacardiaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.85;0;0.1;0.1;0.24;0.41;1.9;4.5;2.6;5;0;Ninguna;N/A;Fuste Polifurcado;9;Subterranea    ;Si;Globosa        ;Alto (67 - 100%)    ;Regular ;873826,95;1057825,26
39;0101G12263647;101;Terron Colorado;1;263647;G12 ;Aguacate;Persea americana;Persea americana (Aguacate);Lauraceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.5;0.37;0.12;0.12;0;0;2;4.8;2.8;3.8;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Globosa        ;Medio (34 - 66%)    ;Regular ;873829,13;1057827,07
40;0101G12263648;101;Terron Colorado;1;263648;G12 ;Palma de azucar;Syagrus romanzoffiana;Syagrus romanzoffiana (Palma de azucar);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.95;0.84;0.27;0.27;0;0;1.7;5.5;3.8;4.2;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Medio (34 - 66%)    ;Regular ;873870,4;1057864,31
41;0101G12263649;101;Terron Colorado;1;263649;G12 ;Guacimo;Guazuma ulmifolia;Guazuma ulmifolia (Guacimo);Malvaceae;Arbol;Juvenil        ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.28;0.16;0.05;0.05;0;0;1.4;3;1.6;2.1;15;Otro;Anden;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873878,26;1057877,15
42;0101G12263650;101;Terron Colorado;1;263650;G12 ;Guacimo;Guazuma ulmifolia;Guazuma ulmifolia (Guacimo);Malvaceae;Arbol;Juvenil        ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.35;0.2;0.06;0.06;0;0;0.5;3;2.5;1.7;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Columnar       ;Medio (34 - 66%)    ;Regular ;873879,54;1057875,85
43;0101G12263651;101;Terron Colorado;1;263651;G12 ;Pino azul;Juniperus rigida;Juniperus rigida (Pino azul);Cupressaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Anden                              ;0.5;0;0.07;0.07;0.14;0.33;1;2.4;1.4;1.5;0;Ninguna;N/A;Fuste Polifurcado;5;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Regular ;873796,43;1057991,54
44;0101G12263652;101;Terron Colorado;1;263652;G12 ;Palma manila, Palma navidad;Adonidia merrillii;Adonidia merrillii (Palma manila, Palma navidad);Arecaceae;Palma;Maduro         ;N/A;Piso duro           ;Si;Anden                              ;0.79;0.44;0.14;0.14;0;0;2;3.5;1.5;2.2;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;Si;Aparasolada    ;Medio (34 - 66%)    ;Regular ;873795,95;1057997,41
45;0101G12263653;101;Terron Colorado;1;263653;G12 ;Palma manila, Palma navidad;Adonidia merrillii;Adonidia merrillii (Palma manila, Palma navidad);Arecaceae;Palma;Maduro         ;N/A;Piso duro           ;Si;Anden                              ;0.77;0.5;0.16;0.16;0;0;2;4;2;2.5;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Medio (34 - 66%)    ;Regular ;873797;1058011,57
