,nombre_comun,pb,pap,dap,papdel,papgrueso,altura_fuste,altura_arbol,diferencia,diametro_copa,tallos
222,0,1.56,1.1,0.35,0.0,0.0,8.0,10.0,2.0,6.0,1
223,0,2.17,1.38,0.44,0.0,0.0,9.5,12.0,2.5,6.0,1
224,0,1.78,1.3,0.41,0.0,0.0,8.0,12.0,4.0,6.0,1
225,0,1.47,1.17,0.37,0.0,0.0,7.5,12.0,4.5,5.0,1
226,2,2.66,0.0,0.07,0.18,0.29,2.0,4.3,2.3,5.0,10
227,2,1.17,0.0,0.07,0.19,0.25,2.5,4.5,2.0,5.0,8
228,2,2.9,0.0,0.08,0.23,0.29,3.0,5.5,2.5,5.0,15
229,2,2.5,0.0,0.07,0.19,0.24,2.3,5.5,3.2,5.0,10
230,2,1.62,0.0,0.08,0.21,0.29,2.4,5.0,2.6,3.0,5
231,2,0.79,0.0,0.07,0.2,0.22,2.5,3.3,0.8,2.5,2
232,2,1.55,0.0,0.05,0.09,0.23,2.5,5.0,2.5,3.3,3
233,2,1.29,0.0,0.07,0.19,0.23,3.0,5.0,2.0,4.5,10
234,2,2.4,0.0,0.07,0.18,0.24,2.5,3.2,0.7,3.0,4
235,2,2.14,0.0,0.09,0.26,0.28,2.8,4.5,1.7,4.5,7
236,0,1.73,1.42,0.45,0.0,0.0,8.0,12.0,4.0,6.0,1
237,2,1.13,0.0,0.06,0.17,0.2,3.0,4.3,1.3,3.0,3
238,2,1.28,0.0,0.08,0.19,0.31,2.5,3.5,1.0,3.5,4
239,2,0.32,0.27,0.09,0.0,0.0,2.6,4.0,1.4,3.0,1
240,2,2.2,0.0,0.08,0.19,0.29,2.0,5.5,3.5,4.0,12
241,0,0.56,0.4,0.13,0.0,0.0,2.5,3.3,0.8,2.5,1
242,0,0.55,0.29,0.09,0.0,0.0,2.5,3.5,1.0,2.0,1
243,0,0.63,0.38,0.12,0.0,0.0,2.5,3.8,1.3,3.0,1
244,0,1.93,1.56,0.5,0.0,0.0,7.0,11.0,4.0,6.0,1
245,0,1.69,1.29,0.41,0.0,0.0,6.5,7.0,0.5,7.0,1
246,0,2.07,1.27,0.4,0.0,0.0,6.0,7.5,1.5,1.0,1
247,0,2.38,1.6,0.51,0.0,0.0,5.0,10.0,5.0,4.5,1
248,0,1.91,1.32,0.42,0.0,0.0,8.0,12.0,4.0,6.0,1
249,0,2.5,1.79,0.57,0.0,0.0,8.0,10.0,2.0,4.0,1
250,0,3.44,0.0,0.48,1.4,1.6,10.0,12.0,2.0,5.0,2
251,0,1.77,1.22,0.39,0.0,0.0,6.0,8.0,2.0,4.0,1
252,0,2.99,0.0,0.31,0.6,1.36,8.0,10.0,2.0,4.0,3
253,0,2.15,1.41,0.45,0.0,0.0,8.0,10.0,2.0,5.0,1
254,1,0.61,0.0,0.13,0.4,0.41,3.0,6.7,3.7,4.2,2
255,1,0.6,0.27,0.09,0.0,0.0,3.0,6.7,3.7,4.2,1
256,1,0.65,0.56,0.18,0.0,0.0,3.1,6.7,3.6,5.0,1
257,1,0.55,0.38,0.12,0.0,0.0,3.1,6.7,3.6,5.0,1
258,1,1.04,0.0,0.11,0.26,0.42,3.1,6.7,3.6,5.0,4
259,1,0.59,0.39,0.12,0.0,0.0,3.1,6.7,3.6,5.0,1
260,1,0.63,0.42,0.13,0.0,0.0,3.1,6.7,3.6,5.0,1
261,1,0.9,0.0,0.12,0.38,0.4,3.8,7.0,3.2,6.0,2
262,1,0.86,0.0,0.15,0.47,0.48,4.0,7.0,3.0,7.1,2
263,1,0.7,0.51,0.16,0.0,0.0,4.5,7.5,3.0,4.0,1
264,1,0.65,0.4,0.13,0.0,0.0,4.2,6.7,2.5,4.0,1
265,1,0.75,0.0,0.11,0.32,0.4,2.8,6.3,3.5,5.5,2
266,1,0.49,0.35,0.11,0.0,0.0,3.0,6.0,3.0,3.5,1
267,1,0.83,0.46,0.15,0.0,0.0,4.0,6.0,2.0,4.0,1
268,1,0.61,0.0,0.08,0.25,0.28,3.8,6.1,2.3,5.0,3
269,1,0.82,0.0,0.1,0.31,0.34,2.1,6.0,3.9,4.8,2
270,1,1.15,0.0,0.15,0.36,0.56,2.0,6.5,4.5,6.0,3
271,1,0.87,0.0,0.16,0.33,0.66,3.0,6.1,3.1,8.0,2
272,1,1.25,0.66,0.21,0.0,0.0,4.0,6.0,2.0,5.0,1
273,0,1.9,1.59,0.51,0.0,0.0,5.0,10.0,5.0,7.82,1
274,0,1.75,1.23,0.39,0.0,0.0,5.0,10.0,5.0,6.2,1
275,0,1.24,0.53,0.17,0.0,0.0,1.6,4.0,2.4,4.33,1
276,2,2.0,0.0,0.08,0.23,0.25,4.0,5.0,1.0,7.0,4
277,0,1.52,0.7,0.22,0.0,0.0,1.6,5.0,3.4,4.51,1
278,0,0.87,0.58,0.18,0.0,0.0,2.0,4.0,2.0,4.0,1
279,0,0.92,0.64,0.2,0.0,0.0,6.0,8.0,2.0,6.0,1
280,0,0.81,0.62,0.2,0.0,0.0,7.0,10.0,3.0,7.1,1
281,0,1.68,1.25,0.4,0.0,0.0,5.0,8.0,3.0,6.3,1
282,0,1.92,1.49,0.47,0.0,0.0,6.0,9.0,3.0,6.34,1
283,0,1.05,0.54,0.17,0.0,0.0,3.0,5.0,2.0,3.08,1
284,2,1.65,0.0,0.09,0.28,0.29,2.2,3.0,0.8,4.4,7
285,2,2.53,0.0,0.06,0.17,0.23,1.6,3.0,1.4,4.15,5
286,2,0.26,0.0,0.06,0.16,0.2,2.2,3.5,1.3,2.5,2
287,2,0.8,0.0,0.05,0.14,0.17,1.6,2.6,1.0,2.37,2
288,2,3.54,0.0,0.05,0.14,0.2,2.8,4.6,1.8,5.5,14
289,2,1.67,0.0,0.07,0.2,0.26,4.5,7.0,2.5,4.26,8
290,2,1.64,0.0,0.07,0.22,0.25,2.2,3.5,1.3,3.66,3
291,0,2.43,1.55,0.49,0.0,0.0,3.7,7.1,3.4,4.3,1
292,0,2.0,0.78,0.25,0.0,0.0,1.5,4.2,2.7,3.8,1
293,2,2.0,0.0,0.08,0.22,0.27,2.2,3.2,1.0,2.5,10
294,2,2.6,0.0,0.05,0.12,0.18,2.5,5.0,2.5,5.0,18
295,2,1.73,0.0,0.08,0.23,0.27,2.0,3.5,1.5,5.0,4
296,2,1.69,0.0,0.07,0.2,0.27,2.0,3.0,1.0,5.0,4
297,2,1.68,0.35,0.11,0.0,0.0,5.0,7.0,2.0,4.0,1
298,2,0.41,0.36,0.11,0.0,0.0,5.5,7.0,1.5,1.2,1
299,2,2.01,0.32,0.1,0.0,0.0,5.0,6.5,1.5,4.0,1
300,2,1.13,0.36,0.11,0.0,0.0,5.0,6.5,1.5,3.0,1
301,0,2.32,1.63,0.52,0.0,0.0,7.0,10.0,3.0,2.5,1
302,0,1.88,1.57,0.5,0.0,0.0,7.0,10.5,3.5,3.5,1
303,0,1.95,1.49,0.47,0.0,0.0,7.5,10.0,2.5,3.5,1
304,0,2.07,1.56,0.5,0.0,0.0,8.0,10.0,2.0,3.5,1
305,0,2.1,1.73,0.55,0.0,0.0,8.0,10.5,2.5,3.5,1
306,0,2.16,1.67,0.53,0.0,0.0,8.5,10.5,2.0,4.0,1
307,0,2.34,1.8,0.57,0.0,0.0,9.0,11.0,2.0,4.5,1
308,0,1.94,1.59,0.51,0.0,0.0,8.5,10.0,1.5,4.5,1
309,0,1.71,1.4,0.45,0.0,0.0,8.5,10.5,2.0,4.0,1
310,0,1.98,1.54,0.49,0.0,0.0,8.5,10.0,1.5,4.0,1
311,0,2.55,2.03,0.65,0.0,0.0,14.0,16.0,2.0,4.5,1
312,0,2.2,1.69,0.54,0.0,0.0,13.0,15.0,2.0,4.5,1
313,0,2.1,1.55,0.49,0.0,0.0,9.0,10.5,1.5,4.0,1
314,0,2.1,1.68,0.53,0.0,0.0,9.5,12.5,3.0,4.5,1
315,0,1.93,1.64,0.52,0.0,0.0,12.0,14.0,2.0,4.0,1
316,0,1.54,1.53,0.49,0.0,0.0,14.0,17.0,3.0,4.5,1
317,0,1.94,1.34,0.43,0.0,0.0,11.0,13.0,2.0,4.5,1
318,0,2.29,1.88,0.6,0.0,0.0,12.0,16.0,4.0,4.5,1
319,0,2.05,1.65,0.53,0.0,0.0,12.0,14.0,2.0,4.5,1
320,0,2.08,1.5,0.48,0.0,0.0,13.0,15.0,2.0,4.5,1
321,0,2.2,1.64,0.52,0.0,0.0,13.0,15.0,2.0,4.0,1
322,0,2.1,1.6,0.51,0.0,0.0,13.0,15.0,2.0,4.0,1
323,0,2.28,1.77,0.56,0.0,0.0,13.0,15.0,2.0,4.5,1
324,0,2.2,1.8,0.57,0.0,0.0,14.0,16.0,2.0,4.5,1
325,0,2.27,1.63,0.52,0.0,0.0,13.0,16.0,3.0,4.5,1
326,0,1.4,1.24,0.39,0.0,0.0,11.0,13.0,2.0,4.0,1
327,0,1.87,1.54,0.49,0.0,0.0,11.0,14.0,3.0,4.5,1
328,0,1.96,1.74,0.55,0.0,0.0,10.0,13.0,3.0,4.5,1
329,0,1.75,1.12,0.36,0.0,0.0,11.0,13.0,2.0,4.5,1
330,0,2.21,1.37,0.44,0.0,0.0,10.0,13.0,3.0,4.5,1
331,0,1.9,1.44,0.46,0.0,0.0,12.0,15.0,3.0,4.5,1
332,0,1.88,1.47,0.47,0.0,0.0,11.0,13.0,2.0,4.0,1
333,0,1.65,1.28,0.41,0.0,0.0,13.0,15.0,2.0,4.5,1
334,0,1.8,1.52,0.48,0.0,0.0,13.0,16.0,3.0,4.5,1
335,0,2.1,1.6,0.51,0.0,0.0,13.0,16.0,3.0,4.5,1
336,0,1.75,1.32,0.42,0.0,0.0,12.0,14.0,2.0,4.5,1
337,0,1.47,1.32,0.42,0.0,0.0,11.0,13.0,2.0,4.0,1
338,0,1.53,1.23,0.39,0.0,0.0,11.0,13.0,2.0,4.5,1
339,0,1.4,1.14,0.36,0.0,0.0,12.0,14.0,2.0,4.5,1
340,0,1.76,1.4,0.45,0.0,0.0,14.0,16.0,2.0,5.0,1
341,0,1.4,0.99,0.32,0.0,0.0,11.0,13.0,2.0,4.5,1
342,0,1.57,1.22,0.39,0.0,0.0,14.0,16.0,2.0,4.0,1
343,0,1.65,1.28,0.41,0.0,0.0,14.0,16.0,2.0,4.5,1
344,0,1.67,1.13,0.36,0.0,0.0,14.0,16.0,2.0,4.5,1
345,0,1.54,1.29,0.41,0.0,0.0,13.0,15.0,2.0,4.0,1
346,0,1.8,1.37,0.44,0.0,0.0,13.0,15.0,2.0,4.3,1
347,0,1.93,1.48,0.47,0.0,0.0,10.0,12.0,2.0,4.0,1
348,0,1.33,1.23,0.39,0.0,0.0,13.0,15.0,2.0,4.3,1
349,0,1.77,1.64,0.52,0.0,0.0,14.0,17.0,3.0,5.0,1
350,0,2.38,1.8,0.57,0.0,0.0,13.0,16.0,3.0,4.3,1
351,0,2.24,1.98,0.63,0.0,0.0,14.0,17.0,3.0,5.0,1
352,0,1.6,1.64,0.52,0.0,0.0,18.0,21.0,3.0,5.0,1
353,0,2.05,1.43,0.46,0.0,0.0,16.0,18.0,2.0,4.5,1
354,0,1.93,1.37,0.44,0.0,0.0,14.0,16.0,2.0,5.0,1
355,0,2.35,1.95,0.62,0.0,0.0,14.0,17.0,3.0,5.0,1
356,0,1.72,1.15,0.37,0.0,0.0,10.0,12.0,2.0,5.0,1
357,0,1.72,1.4,0.45,0.0,0.0,15.0,17.0,2.0,5.0,1
358,0,2.3,2.0,0.64,0.0,0.0,16.0,18.0,2.0,5.5,1
359,0,2.34,1.66,0.53,0.0,0.0,16.0,18.0,2.0,5.0,1
360,0,2.1,1.58,0.5,0.0,0.0,16.0,18.0,2.0,5.0,1
361,0,2.0,1.59,0.51,0.0,0.0,14.0,16.0,2.0,5.0,1
362,0,2.02,1.55,0.49,0.0,0.0,18.0,19.5,1.5,4.5,1
363,0,2.05,1.59,0.51,0.0,0.0,13.0,16.0,3.0,4.5,1
364,0,1.96,1.7,0.54,0.0,0.0,15.0,17.0,2.0,4.5,1
365,0,2.13,1.63,0.52,0.0,0.0,15.0,17.0,2.0,4.5,1
366,0,2.3,1.68,0.53,0.0,0.0,15.0,17.0,2.0,4.5,1
367,0,1.83,1.2,0.38,0.0,0.0,15.0,17.0,2.0,4.5,1
368,0,1.85,1.35,0.43,0.0,0.0,15.0,17.0,2.0,4.5,1
369,0,2.34,1.68,0.53,0.0,0.0,15.0,17.0,2.0,4.5,1
370,0,1.78,1.08,0.34,0.0,0.0,16.0,18.0,2.0,4.5,1
371,0,2.36,1.78,0.57,0.0,0.0,16.0,18.0,2.0,5.0,1
372,0,2.25,1.0,0.32,0.0,0.0,16.0,18.0,2.0,5.0,1
373,0,1.78,1.25,0.4,0.0,0.0,14.0,16.0,2.0,4.5,1
374,0,2.2,1.5,0.48,0.0,0.0,13.0,15.0,2.0,4.5,1
375,0,2.0,1.58,0.5,0.0,0.0,16.0,18.0,2.0,5.0,1
376,0,2.35,1.45,0.46,0.0,0.0,14.0,16.0,2.0,4.5,1
377,0,2.35,1.8,0.57,0.0,0.0,14.0,16.0,2.0,4.5,1
378,0,1.87,1.15,0.37,0.0,0.0,13.0,15.0,2.0,4.0,1
379,0,2.35,1.86,0.59,0.0,0.0,13.0,15.0,2.0,4.0,1
380,0,1.9,1.52,0.48,0.0,0.0,16.0,18.0,2.0,5.0,1
381,0,1.8,1.6,0.51,0.0,0.0,14.0,17.0,3.0,5.0,1
382,0,2.16,1.92,0.61,0.0,0.0,12.0,14.0,2.0,14.0,1
383,0,2.2,1.68,0.53,0.0,0.0,16.0,18.0,2.0,5.0,1
384,0,2.5,1.85,0.59,0.0,0.0,14.0,16.0,2.0,5.0,1
385,0,2.12,1.7,0.54,0.0,0.0,16.0,18.0,2.0,5.5,1
386,0,1.93,1.46,0.46,0.0,0.0,15.0,17.0,2.0,4.5,1
387,0,2.3,1.9,0.6,0.0,0.0,15.0,17.0,2.0,5.0,1
388,0,1.95,1.43,0.46,0.0,0.0,16.0,18.0,2.0,5.0,1
389,0,2.93,1.85,0.59,0.0,0.0,16.0,18.0,2.0,5.0,1
390,0,1.97,1.7,0.54,0.0,0.0,16.0,18.0,2.0,5.5,1
391,0,2.0,1.15,0.37,0.0,0.0,13.0,15.0,2.0,4.0,1
392,0,1.95,1.65,0.53,0.0,0.0,14.0,16.0,2.0,5.0,1
393,0,2.3,1.75,0.56,0.0,0.0,16.0,19.0,3.0,5.5,1
394,0,2.23,1.8,0.57,0.0,0.0,16.0,18.0,2.0,5.0,1
395,0,2.4,1.17,0.37,0.0,0.0,16.0,18.0,2.0,5.0,1
396,0,2.57,1.8,0.57,0.0,0.0,15.0,17.0,2.0,5.5,1
397,0,1.75,1.18,0.38,0.0,0.0,14.0,16.0,2.0,4.5,1
398,0,2.05,1.46,0.46,0.0,0.0,16.0,18.0,2.0,5.0,1
399,0,2.1,1.55,0.49,0.0,0.0,17.0,19.0,2.0,5.5,1
400,0,1.6,1.32,0.42,0.0,0.0,16.0,18.0,2.0,5.0,1
401,0,2.2,1.5,0.48,0.0,0.0,16.0,18.0,2.0,5.0,1
